UUID,FILE,QUOTE_TRANSCRIPTION,ANCHOR,TYPE,URI,VOCAB_LABEL,VOCAB_TEMPORAL_BOUNDS,LAT,LNG,PLACE_TYPE,VERIFICATION_STATUS,TAGS,COMMENTS
1f89ae93-805d-4620-bcac-9fac8d949a7b,Anabasis.1.en.txt,Pigres,char-offset:37184,PERSON,,,,,,,,,
fd4e8be8-8ac9-4c4c-83bc-0472f77db4dd,Anabasis.1.en.txt,Cyrus,char-offset:38004,PERSON,,,,,,,,Cyrus,
1e75df6f-5f93-42b3-a339-f8d752124ff1,Anabasis.1.en.txt,King,char-offset:38225,PERSON,,,,,,,,Artaxerxes,Referring to Artaxerxes|Referring to Artaxerxes
832db008-88bb-44ca-bc16-a64ca6d28734,Anabasis.1.en.txt,King's,char-offset:38442,PERSON,,,,,,,,Artaxerxes,Referring to the court of Artaxerxes
fb863927-52de-4bb6-b599-72e548cc64ee,Anabasis.1.en.txt,Menon,char-offset:39248,PERSON,,,,,,,,,
3edb88f6-21a7-480e-88c7-67ab022b8068,Anabasis.1.en.txt,Clearchus,char-offset:39276,PERSON,,,,,,,,,
48b52ea0-2de6-4ca6-9e94-17c9ea9757ef,Anabasis.1.en.txt,Clearchus,char-offset:39313,PERSON,,,,,,,,,
7396ee5a-e74f-410a-9f80-cb1bc419ec6b,Anabasis.1.en.txt,Menon,char-offset:39338,PERSON,,,,,,,,,
f02eaaa7-6fad-4c5b-b69a-c277a4cd61a5,Anabasis.1.en.txt,Clearchus,char-offset:39535,PERSON,,,,,,,,,
44afa7df-f31e-4bbe-ae5c-9b7138de6434,Anabasis.1.en.txt,Clearchus,char-offset:39567,PERSON,,,,,,,,,
510ee6a4-1277-4dcf-8f3f-938634294261,Anabasis.1.en.txt,Menon,char-offset:39705,PERSON,,,,,,,,,
af87739d-6880-4c82-b98f-e01f60b371fc,Anabasis.1.en.txt,Cyrus,char-offset:39755,PERSON,,,,,,,,Cyrus,
d5003217-ef03-4533-acee-224d41da87d0,Anabasis.1.en.txt,Menon,char-offset:39838,PERSON,,,,,,,,,
ca88ed41-af33-4dd0-9ca7-a8cc3e8ab6aa,Anabasis.1.en.txt,Clearchus,char-offset:39895,PERSON,,,,,,,,Clearchus,
94e378ba-9863-4892-aa82-6d3784006168,Anabasis.1.en.txt,Clearchus,char-offset:40078,PERSON,,,,,,,,Clearchus,
b1d501ac-87ec-467f-bf31-61584bcad505,Anabasis.1.en.txt,Menon,char-offset:40386,PERSON,,,,,,,,,
b4d2ad9a-8c6c-4d16-b242-909cb8ef45e4,Anabasis.1.en.txt,Menon,char-offset:40432,PERSON,,,,,,,,Menon,
fa240451-cf73-4ffd-be8b-980ffe0a46a4,Anabasis.1.en.txt,Proxenus,char-offset:40580,PERSON,,,,,,,,,
07eb7618-6f10-4384-98e2-7b1c6d69c8e2,Anabasis.1.en.txt,Clearchus,char-offset:40799,PERSON,,,,,,,,Clearchus,
d211b6ff-206a-4155-9433-e957fc138f87,Anabasis.1.en.txt,Clearchus,char-offset:40841,PERSON,,,,,,,,,
6e63ca48-e751-4572-807a-2aae6354b98b,Anabasis.1.en.txt,Proxenus,char-offset:40931,PERSON,,,,,,,,,
53a695f6-d823-47af-a389-3649da7e7396,Anabasis.1.en.txt,Cyrus,char-offset:41054,PERSON,,,,,,,,Cyrus,
d8d9b8cf-198e-452b-b3db-7f98b0e1614b,Anabasis.1.en.txt,Clearchus,char-offset:41279,PERSON,,,,,,,,,
1957016b-9215-4411-8fcb-2b46ac5be18e,Anabasis.1.en.txt,Proxenus,char-offset:41294,PERSON,,,,,,,,,
2f9d0fd2-8f07-494f-bf13-7e15bafa6193,Anabasis.1.en.txt,Clearchus,char-offset:41714,PERSON,,,,,,,,Clearchus,
8e517d4d-ec3f-42b4-8ad2-880e7dcff5f3,Anabasis.1.en.txt,Orontas,char-offset:42081,PERSON,,,,,,,,,
f70f6a58-eca8-424d-bfd9-7a5b3e77f724,Anabasis.1.en.txt,King,char-offset:42124,PERSON,,,,,,,,Artaxerxes,Referring to Artaxerxes|Referring to Artaxerxes
1663048d-f950-450a-a2d5-5aca48c8aed0,Anabasis.1.en.txt,Cyrus,char-offset:42228,PERSON,,,,,,,,,
8cb0b324-a59f-47e4-91aa-e64e524bba67,Anabasis.1.en.txt,Cyrus,char-offset:42333,PERSON,,,,,,,,Cyrus,
58e77325-0eed-4f59-81fe-1bc6050cd8d5,Anabasis.1.en.txt,Cyrus,char-offset:42617,PERSON,,,,,,,,,
1a3c2d04-9759-4238-b28f-0b49de3b0e52,Anabasis.1.en.txt,King,char-offset:42644,PERSON,,,,,,,,Artaxerxes,Referring to Artaxerxes|Referring to Artaxerxes
19607b1c-b16c-4cc4-a245-875977dd0b18,Anabasis.1.en.txt,Cyrus,char-offset:42673,PERSON,,,,,,,,Cyrus,
8a6915bc-3eb5-49d4-8cc4-b381fbe203ec,Anabasis.1.en.txt,Orontas,char-offset:42753,PERSON,,,,,,,,,
cc2ab23d-0397-46de-a6e7-a3b7a0754cc4,Anabasis.1.en.txt,Orontas,char-offset:42831,PERSON,,,,,,,,,
980e7492-9f4b-45c4-9613-56037318afb9,Anabasis.1.en.txt,King,char-offset:42907,PERSON,,,,,,,,Artaxerxes,Referring to Artaxerxes|Referring to Artaxerxes
8fa4d56a-4fd6-40a3-b67e-65fe5aca3cc2,Anabasis.1.en.txt,King,char-offset:43001,PERSON,,,,,,,,Artaxerxes,Referring to Artaxerxes|Referring to Artaxerxes
4d973d31-53c8-4680-b821-763932742661,Anabasis.1.en.txt,Cyrus,char-offset:43240,PERSON,,,,,,,,,
2b80b074-05c8-468b-9243-9bcefa4790c1,Anabasis.1.en.txt,Cyrus,char-offset:43256,PERSON,,,,,,,,Cyrus,
fe98c8ed-fc82-409e-917e-0ab53123f92d,Anabasis.1.en.txt,Orontas,char-offset:43282,PERSON,,,,,,,,,
f81f4c76-fb21-4e80-bc08-07c05d80d318,Anabasis.1.en.txt,Clearchus,char-offset:43584,PERSON,,,,,,,,Clearchus,
46e88931-bda1-4345-91a7-b6b1d76f52c9,Anabasis.1.en.txt,Cyrus,char-offset:43651,PERSON,,,,,,,,Cyrus,
65c3a764-7898-417b-bfd7-9fb9b6cd962b,Anabasis.1.en.txt,Orontas,char-offset:43804,PERSON,,,,,,,,,
45d11a7c-f1b3-4d5d-9827-3a0e7ae2ffd1,Anabasis.1.en.txt,Cyrus,char-offset:43872,PERSON,,,,,,,,Cyrus,
a7e90ba9-1e39-439f-bee7-514680209907,Anabasis.1.en.txt,Orontas,char-offset:44027,PERSON,,,,,,,,,
14f7d69c-a5e0-4e62-a0d0-b5f3aa938309,Anabasis.1.en.txt,Orontas,char-offset:44432,PERSON,,,,,,,,,
9a66edf1-8356-48c1-b3aa-b786b99fe1b1,Anabasis.1.en.txt,Orontas,char-offset:44479,PERSON,,,,,,,,,
069a6364-0494-4218-9717-d8f6b54556f8,Anabasis.1.en.txt,Cyrus,char-offset:44497,PERSON,,,,,,,,Cyrus,
e85aaef2-4b5a-45fe-9a8f-0d2995025062,Anabasis.1.en.txt,Orontas,char-offset:44712,PERSON,,,,,,,,,
e6c97942-43af-4e85-847a-19492b5e4c83,Anabasis.1.en.txt,Cyrus,char-offset:44736,PERSON,,,,,,,,Cyrus,
8409fbbc-0fcc-4d97-84b3-93309617e03e,Anabasis.1.en.txt,Artemis,char-offset:44833,PERSON,,,,,,,,,
89ddaae2-48dd-4093-8687-cf3d4ed96337,Anabasis.1.en.txt,Orontas,char-offset:44984,PERSON,,,,,,,,,
3dc985f2-2716-4ced-8b37-eca463684d72,Anabasis.1.en.txt,Cyrus,char-offset:45031,PERSON,,,,,,,,,
